source_id,title,organization,type,license_status,green_level,recommended_units,recommended_use,distribution_rule,url,notes
OSX-UPV1-17-1,17.1 Ondas sonoras,OpenStax / Rice University,HTML textbook section,Creative Commons Attribution License / CC BY,Green,U01 U04,Sound as wave; compression; rarefaction; equations; base physics,Use with attribution; do not use for LLM training without OpenStax permission,https://openstax.org/books/f%C3%ADsica-universitaria-volumen-1/pages/17-1-ondas-sonoras,High priority for U01/U04
OSX-UPV1-17-2,17.2 Velocidad del sonido,OpenStax / Rice University,HTML textbook section,Creative Commons Attribution License / CC BY,Green,U01 U04,Speed of sound; temperature relation; wavelength/frequency,Use with attribution; do not use for LLM training without OpenStax permission,https://openstax.org/books/f%C3%ADsica-universitaria-volumen-1/pages/17-2-velocidad-del-sonido,High priority for U04
OSX-UPV1-17-3,17.3 Intensidad del sonido,OpenStax / Rice University,HTML textbook section,Creative Commons Attribution License / CC BY,Green,U02 U04,Intensity; decibels; hearing; level examples; 85 dB reference,Use with attribution; do not use for LLM training without OpenStax permission,https://openstax.org/books/f%C3%ADsica-universitaria-volumen-1/pages/17-3-intensidad-del-sonido,High priority for U02
SRT-85-12-PROTOCOLO,Resolución SRT 85/12 — Protocolo ruido,Superintendencia de Riesgos del Trabajo / Argentina.gob.ar,PDF regulation,Official government normative material,Green normative reference,U02,Legal/normative reference for measuring workplace noise,Use as official reference; do not present course as legal certification,https://www.argentina.gob.ar/sites/default/files/res_srt_85_12_protocolo_ruido.pdf,Use for validation and citation
SRT-85-12-GUIA,Resolución SRT 85/12 — Guía práctica ruido,Superintendencia de Riesgos del Trabajo / Argentina.gob.ar,PDF guide,Official government downloadable guide,Green normative reference,U02,Noise, frequency, decibel, dose, measurement, prevention,Use as official reference; adapt with care and cite,https://www.argentina.gob.ar/sites/default/files/res_srt_85_12_protocolo_ruido_guia-practiva.pdf,Very useful for U02
SRT-85-12-ANEXO,Resolución SRT 85/12 — Anexo instructivo,Superintendencia de Riesgos del Trabajo / Argentina.gob.ar,PDF annex,Official government downloadable annex,Green normative reference,U02,Measurement form instructions,Use as official reference only,https://www.argentina.gob.ar/sites/default/files/res_srt_85_12_protocolo_ruido-anexo.pdf,Optional
SRT-85-12-FORMULARIO,Resolución SRT 85/12 — Formulario,Superintendencia de Riesgos del Trabajo / Argentina.gob.ar,PDF form,Official government downloadable form,Green normative reference,U02,Example of measurement protocol fields,Use as official reference only,https://www.argentina.gob.ar/sites/default/files/res_srt_85_12_protocolo_ruido-formulario.pdf,Optional
RL-TECH-RADIAL-PDF,Tutorial 9 Tecnología radial,Radios Libres,PDF manual/tutorial,Radios Libres site declares CC BY-SA 4.0 but manual may include third-party items,Green with caution BY-SA,U06 U07 U08 U09,Micrófonos; consola; tarjetas; altavoces; impedancia,Use for study/adaptation only with attribution and ShareAlike compatibility; verify images individually,https://radioslibres.net/wp-content/uploads/media/uploads/documentos/tutorial_9_tecnologia_radial.pdf,Do not blindly reuse embedded images
RL-MIC-FUNC,34 Cómo funcionan los micrófonos,Radios Libres,HTML article,CC BY-SA 4.0 site license / verify embedded media,Green with caution BY-SA,U06,Mic components; directivity; connectors; characteristics,Use with attribution and SA compatibility; create own diagrams,https://radioslibres.net/34-como-funcionan-los-microfonos/,Good practical language
RL-CABLES,33 Qué tipos de cables y conectores hay,Radios Libres,HTML article,CC BY-SA 4.0 site license / verify embedded media,Green with caution BY-SA,U07,Balanced/unbalanced; XLR; TRS; TS; RCA; mono/stereo,Use with attribution and SA compatibility; create own diagrams,https://radioslibres.net/33-que-tipos-de-cables-y-conectores-hay/,Good for safe connections
RL-CONSOLA-BOTONES,Capítulo 5 Qué son todos esos botones,Radios Libres,HTML article,CC BY-SA 4.0 site license / verify embedded media,Green with caution BY-SA,U08,Console basics; faders; knobs; channel strips,Use with attribution and SA compatibility; create own interface illustrations,https://radioslibres.net/capitulo-5-que-son-todos-esos-botones/,Good for future console simulator
RL-ALTAVOCES,Capítulo 9 Cómo conecto los altavoces,Radios Libres,HTML article,CC BY-SA 4.0 site license / verify embedded media,Green with caution BY-SA,U09,Amplifier-speaker connection; active/passive speakers; impedance,Use with attribution and SA compatibility; validate technically with Matías,https://radioslibres.net/capitulo-9-como-conecto-los-altavoces/,Good for U09 practical errors
CEDEC-INTEF,CEDEC / INTEF REA resources,Spanish Ministry education / CEDEC,Website/OER,CC BY-SA 3.0 Spain on CEDEC site,Green with caution BY-SA,U10,Methodology and open educational resources,Use as methodology inspiration; do not mix licenses without review,https://cedec.intef.es/,Useful for Learning Lab / integrator design
